CAE_NAME_CLEAN,WIN_NAME_CLEAN,number_of_awards,total_value_euro,authority_node,company_node
"""republik österreich (bund)""",frach fwo gmbh,1,279576.26,"AUTH::""republik österreich (bund)""",COMP::frach fwo gmbh
"""wiener frauenhäuser"" - soziale hilfen für von gewalt betroffene frauen und ihrekinder",wien work-integrative betriebe und ausbildungsgmbh,1,233155.0,"AUTH::""wiener frauenhäuser"" - soziale hilfen für von gewalt betroffene frauen und ihrekinder",COMP::wien work-integrative betriebe und ausbildungsgmbh
"76069 -hopfgarten berglift; sicherungsmaßnahmen und erneuerung tunnelportal nach vermurung, km 178,400-179,430; baumeisterarbeiten - bauphase 1 / spezialtiefbau",ing. berger & brunner baugesellschaft m.b.h / niederlassung inzing,1,1487192.65,"AUTH::76069 -hopfgarten berglift; sicherungsmaßnahmen und erneuerung tunnelportal nach vermurung, km 178,400-179,430; baumeisterarbeiten - bauphase 1 / spezialtiefbau",COMP::ing. berger & brunner baugesellschaft m.b.h / niederlassung inzing
a. ö. bezirkskrankenhaus reutte,nexus digitale dokumentationssysteme projektentwicklungsges.m.b.h.,1,632818.32,AUTH::a. ö. bezirkskrankenhaus reutte,COMP::nexus digitale dokumentationssysteme projektentwicklungsges.m.b.h.
a. ö. krankenhaus des deutschen ordens friesach gmbh,kastner zt-gmbh,1,797762.79,AUTH::a. ö. krankenhaus des deutschen ordens friesach gmbh,COMP::kastner zt-gmbh
a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,1a bodenprofi gmbh,1,199069.37,AUTH::a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,COMP::1a bodenprofi gmbh
a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,m+e metallbau gmbh,3,856830.04,AUTH::a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,COMP::m+e metallbau gmbh
a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,malerei sucher gmbh,1,144638.0,AUTH::a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,COMP::malerei sucher gmbh
a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,tischlerei georg grübler gmbh,1,637739.0,AUTH::a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,COMP::tischlerei georg grübler gmbh
a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,tischlerei scheschy gmbh,1,173877.16,AUTH::a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,COMP::tischlerei scheschy gmbh
